"url","price","stars"
"/dp/B08N6NQT8K/?coliid=I39ZAMRGOUYKES&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$25,999.00
","4.9"
"/dp/B07Z8QGMQP/?coliid=IMMNXIMCO7I7E&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$8,899.00
","4.7"
"/dp/B078RT392P/?coliid=I2IBXRY2WJ7YT4&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.7"
"/dp/B07WSJYRFH/?coliid=I1HVZLFSAHXF5Z&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$3,790.00
","4.7"
"/dp/B08J5WQTL5/?coliid=I2P8521PNPHUUM&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,509.39
","4.8"
"/dp/B07QFCB97K/?coliid=I3BY781GHOQPE6&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.8"
"/dp/B074ZQJW9R/?coliid=I2GUUN0VGCXEPR&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,469.98
","4.7"
"/dp/B07QNZC9V5/?coliid=I3TKHAH2FQY5JN&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,579.00
","4.6"
"/dp/B08F7PTF54/?coliid=I1XJEIT2H08PWR&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.8"
"/dp/B081PP4CB6/?coliid=I8Z7PGXKV1ZB9&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$3,998.52
","4.6"
"/dp/B07MH94CL5/?coliid=I1KQ18J11Q6SP5&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.7"
"/dp/B0784MVB19/?coliid=I3HS8Z3X80VEGF&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.6"
