"url","stars","comments","price","reviews"
"/dp/B083CN3DXJ/?coliid=I5OLGL6LWXBEH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","3.7","2","
$2,675.00","4"
"/dp/6073137052/?coliid=I100QLTBDGLQYY&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","70","","188"
"/dp/B07GVG3KQS/?coliid=I1VHSXDKN28WX4&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","265","
$4,362.08","1,526"
"/dp/B08C72V1LB/?coliid=I2O5LDNNP0DUI5&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.4","98","
$1,489.60","25"
"/dp/B08FC6C75Y/?coliid=I23K54P95FYES3&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","1,118","","24,702"
"/dp/B07JYC9BW8/?coliid=I1C5AC7OGY1DFN&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.5","175","","1,038"
"/dp/B092C58ZNX/?coliid=I2RV17FVQHE1CO&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","5.0","5","
$35,987.53","8"
"/dp/B08GGP4VVB/?coliid=I11CRFXNM1Z9II&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.3","40","","77"
"/dp/B084RJGKRR/?coliid=I2BW85GQI31QKM&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","5.0","3","
$1,146.41","5"
"/dp/B07T8FPVLY/?coliid=IKHJ99CSU7WLD&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","5.0","1","
$2,057.00","3"
"/dp/B01N0XDCFM/?coliid=I3NV697RXLX41P&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","5.0","6","","12"
"/dp/B072FRQZ65/?coliid=I2ZQYJ9D67KA6J&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.1","237","","518"
"/dp/B07PHQ9MH9/?coliid=I2L334LB0MG74L&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","30","","176"
"/dp/B07MQBZYZQ/?coliid=I1NCKFQHMVKHKI&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.0","68","
$1,344.89","360"
"/dp/B07HWF752Z/?coliid=I20DANFYPK47PH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.3","237","
$598.00
","1,406"
"/dp/B076KRDRQG/?coliid=ILBIQ6JBT5M6B&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.8","700","","1,665"
"/dp/B0721GGGS9/?coliid=I541XJ24WK747&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","3,716","","8,096"
"/dp/B01IH5O186/?coliid=I2Z9OWQR0MRBAS&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","815","","3,038"
"/dp/B01IFJBQ1E/?coliid=IAYT7UO98HQCZ&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.8","3,235","","8,861"
"/dp/B0897Y6KNY/?coliid=I1KF9758V0RHWH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","611","
$6,499.00","1,691"
"/dp/B07RJYSV7H/?coliid=I3N7Q98XR0L3MH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","3.8","4","
$359.00
","10"
"/dp/1593070209/?coliid=I1CEORQWQG3HTI&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.8","278","","1,958"
"/dp/B07SKCLW2G/?coliid=I11F2OY000W5MK&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.7","867","","5,818"
"/dp/1589934806/?coliid=I1UDM0KC0G85IX&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","5.0","3","
$584.42
","5"
"/dp/B07V2C2CVP/?coliid=I3H5SFS4S6PV7Y&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","5.0","2","
$530.20
","5"
"/dp/B07FHPNSW7/?coliid=I3P1ZS5MSNYIZ1&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","5.0","2","
$542.52
","3"
"/dp/B077BCRZ6F/?coliid=I2FLBFT7GQJ0MF&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","13","
$997.39
","33"
"/dp/B08L7TBYJC/?coliid=IN777HNHUSVII&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","5.0","4","
$27,498.99","9"
"/dp/B08L7SZSD9/?coliid=I30Q0SQQBWGCZ2&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.4","3","
$30,499.00","9"
"/dp/B0044XKX7O/?coliid=I1UJTQ6XQILY6S&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.5","276","
$1,699.00","634"
"/dp/B00L6SHDLE/?coliid=I1MKGQP8XWY6RB&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","469","
$1,749.00","4,524"
"/dp/B07H4XGX16/?coliid=INI4UUVL1XAM8&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.4","128","
$2,362.18","507"
"/dp/B007136D46/?coliid=I3T031QU5PWDDU&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.5","1,507","
$336.90
","4,845"
"/dp/B07QYKFG6J/?coliid=I37X303436V0LW&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.6","1,165","","11,643"
"/dp/B06XDY3SJF/?coliid=IYI2T8CEPSI29&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","184","
$3,468.95","367"
"/dp/B01N11Z7HG/?coliid=I2GXRW3GEJSIR8&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.3","28","","132"
"/dp/B089P328X6/?coliid=I3U1D8VKBQW08N&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","10","
$229.00
","71"
"/dp/B08189V79Y/?coliid=IH1QLSJZLUSE2&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.2","9","
$277.00
","53"
"/dp/B0797FB45J/?coliid=I5CO57LKNOKJW&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.5","9","","14"
"/dp/B07JZYT15M/?coliid=I3QUR7YDSORTSW&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.4","278","","1,866"
"/dp/B07KXQX3S3/?coliid=I2F21B7WYEEB91&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.9","2,944","
$567.46
","30,299"
"/dp/B07HCZ7LPW/?coliid=IBEZ73PU2S14V&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.9","1,646","","16,227"
"/dp/B01MY7GHKJ/?coliid=I1YZ3GTCXYB2G1&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.9","4,590","","21,910"
"/dp/B07SL6ZXBL/?coliid=IQLKHLC5YVGHR&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.9","2,406","","49,485"
"/dp/B08H9Z94H5/?coliid=I2L1UXS0JHUV4U&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","731","","6,471"
"/dp/B08H9M7LDY/?coliid=I37CCT8NCC37TJ&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.9","847","","16,417"
"/dp/B07HBMKFVY/?coliid=I13Y6M4RZ0EGE4&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","99","","342"
"/dp/B01N5T26EP/?coliid=I1V2GPU5S0EAE2&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","5,694","","24,150"
"/dp/B07PVPSSXD/?coliid=I29TNGG5WWJ1KE&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","31","","606"
"/dp/B07TDLRFKK/?coliid=I1JP6OJXY1XCN1&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","2,565","
$699.99
","18,997"
"/dp/B07GQPF13L/?coliid=I3KMABQC4WY3RQ&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.5","548","
$379.00
","1,465"
"/dp/B08KHD9V74/?coliid=I1DTEXHI5P2PRD&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","43","","720"
"/dp/B08BQ97QRX/?coliid=I2CYVUV43BNI2B&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.9","25","","213"
"/dp/B08DFRXWF5/?coliid=I3MAJ85B7YBCSM&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","23","","86"
"/dp/B01MY9JB2U/?coliid=I2WQCV9UOVG6VH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","5,694","","24,150"
